"datazone","year","type","count"
"S01000040",2001,"england",41
"S01000040",2001,"scotland",907
"S01000040",2001,"wales",0
"S01000040",2001,"northern_ireland",3
"S01000040",2001,"rep_ireland",1
"S01000040",2001,"other_eu",5
"S01000040",2001,"elsewhere",13
"S01000041",2001,"all_people",838
"S01000041",2001,"england",50
"S01000041",2001,"scotland",754
"S01000041",2001,"wales",2
"S01000041",2001,"northern_ireland",3
"S01000041",2001,"rep_ireland",4
"S01000041",2001,"other_eu",5
"S01000041",2001,"elsewhere",20
"S01000042",2001,"all_people",951
"S01000042",2001,"england",47
"S01000042",2001,"scotland",863
"S01000042",2001,"wales",0
"S01000042",2001,"northern_ireland",2
"S01000042",2001,"rep_ireland",0
"S01000042",2001,"other_eu",7
"S01000042",2001,"elsewhere",32
"S01000043",2001,"all_people",976
"S01000043",2001,"england",81
"S01000043",2001,"scotland",826
"S01000043",2001,"wales",2
"S01000043",2001,"northern_ireland",7
"S01000043",2001,"rep_ireland",1
"S01000043",2001,"other_eu",13
"S01000043",2001,"elsewhere",46
"S01000044",2001,"all_people",951
"S01000044",2001,"england",53
"S01000044",2001,"scotland",868
"S01000044",2001,"wales",2
"S01000044",2001,"northern_ireland",4
"S01000044",2001,"rep_ireland",3
"S01000044",2001,"other_eu",8
"S01000044",2001,"elsewhere",13
"S01000045",2001,"all_people",581
"S01000045",2001,"england",48
"S01000045",2001,"scotland",496
"S01000045",2001,"wales",2
"S01000045",2001,"northern_ireland",1
"S01000045",2001,"rep_ireland",0
"S01000045",2001,"other_eu",3
"S01000045",2001,"elsewhere",31
"S01000046",2001,"all_people",768
"S01000046",2001,"england",60
"S01000046",2001,"scotland",659
"S01000046",2001,"wales",3
"S01000046",2001,"northern_ireland",3
"S01000046",2001,"rep_ireland",4
"S01000046",2001,"other_eu",13
"S01000046",2001,"elsewhere",26
"S01000047",2001,"all_people",835
"S01000047",2001,"england",73
"S01000047",2001,"scotland",703
"S01000047",2001,"wales",6
"S01000047",2001,"northern_ireland",4
"S01000047",2001,"rep_ireland",3
"S01000047",2001,"other_eu",9
"S01000047",2001,"elsewhere",37
"S01000048",2001,"all_people",925
"S01000048",2001,"england",83
"S01000048",2001,"scotland",769
"S01000048",2001,"wales",5
"S01000048",2001,"northern_ireland",4
"S01000048",2001,"rep_ireland",3
"S01000048",2001,"other_eu",7
"S01000048",2001,"elsewhere",54
"S01000049",2001,"all_people",764
"S01000049",2001,"england",72
"S01000049",2001,"scotland",638
"S01000049",2001,"wales",2
"S01000049",2001,"northern_ireland",3
"S01000049",2001,"rep_ireland",4
"S01000049",2001,"other_eu",13
"S01000049",2001,"elsewhere",32
"S01000050",2001,"all_people",780
"S01000050",2001,"england",65
"S01000050",2001,"scotland",669
"S01000050",2001,"wales",5
"S01000050",2001,"northern_ireland",1
"S01000050",2001,"rep_ireland",2
"S01000050",2001,"other_eu",8
"S01000050",2001,"elsewhere",30
"S01000051",2001,"all_people",788
"S01000051",2001,"england",55
"S01000051",2001,"scotland",706
"S01000051",2001,"wales",1
"S01000051",2001,"northern_ireland",4
"S01000051",2001,"rep_ireland",1
"S01000051",2001,"other_eu",1
"S01000051",2001,"elsewhere",20
"S01000052",2001,"all_people",677
"S01000052",2001,"england",22
"S01000052",2001,"scotland",646
"S01000052",2001,"wales",0
"S01000052",2001,"northern_ireland",1
"S01000052",2001,"rep_ireland",0
"S01000052",2001,"other_eu",4
"S01000052",2001,"elsewhere",4
"S01000053",2001,"all_people",1285
"S01000053",2001,"england",114
"S01000053",2001,"scotland",1047
"S01000053",2001,"wales",1
"S01000053",2001,"northern_ireland",5
"S01000053",2001,"rep_ireland",11
"S01000053",2001,"other_eu",27
"S01000053",2001,"elsewhere",80
"S01000054",2001,"all_people",777
"S01000054",2001,"england",56
"S01000054",2001,"scotland",669
"S01000054",2001,"wales",0
"S01000054",2001,"northern_ireland",1
"S01000054",2001,"rep_ireland",3
"S01000054",2001,"other_eu",11
"S01000054",2001,"elsewhere",37
"S01000055",2001,"all_people",754
"S01000055",2001,"england",45
"S01000055",2001,"scotland",684
"S01000055",2001,"wales",1
"S01000055",2001,"northern_ireland",5
"S01000055",2001,"rep_ireland",0
"S01000055",2001,"other_eu",5
"S01000055",2001,"elsewhere",14
"S01000056",2001,"all_people",1049
"S01000056",2001,"england",197
"S01000056",2001,"scotland",719
"S01000056",2001,"wales",5
"S01000056",2001,"northern_ireland",5
"S01000056",2001,"rep_ireland",4
"S01000056",2001,"other_eu",25
"S01000056",2001,"elsewhere",94
"S01000057",2001,"all_people",700
"S01000057",2001,"england",25
"S01000057",2001,"scotland",652
"S01000057",2001,"wales",1
"S01000057",2001,"northern_ireland",3
"S01000057",2001,"rep_ireland",0
"S01000057",2001,"other_eu",6
"S01000057",2001,"elsewhere",13
"S01000058",2001,"all_people",1016
"S01000058",2001,"england",88
"S01000058",2001,"scotland",808
"S01000058",2001,"wales",10
"S01000058",2001,"northern_ireland",2
"S01000058",2001,"rep_ireland",13
"S01000058",2001,"other_eu",15
"S01000058",2001,"elsewhere",80
"S01000059",2001,"all_people",1055
"S01000059",2001,"england",140
"S01000059",2001,"scotland",826
"S01000059",2001,"wales",6
"S01000059",2001,"northern_ireland",7
"S01000059",2001,"rep_ireland",10
"S01000059",2001,"other_eu",20
"S01000059",2001,"elsewhere",46
"S01000060",2001,"all_people",577
"S01000060",2001,"england",26
"S01000060",2001,"scotland",529
"S01000060",2001,"wales",4
"S01000060",2001,"northern_ireland",1
"S01000060",2001,"rep_ireland",3
"S01000060",2001,"other_eu",6
"S01000060",2001,"elsewhere",8
"S01000061",2001,"all_people",963
"S01000061",2001,"england",99
"S01000061",2001,"scotland",743
"S01000061",2001,"wales",9
"S01000061",2001,"northern_ireland",9
"S01000061",2001,"rep_ireland",0
"S01000061",2001,"other_eu",16
"S01000061",2001,"elsewhere",87
"S01000062",2001,"all_people",1112
"S01000062",2001,"england",127
"S01000062",2001,"scotland",905
"S01000062",2001,"wales",10
"S01000062",2001,"northern_ireland",5
"S01000062",2001,"rep_ireland",3
"S01000062",2001,"other_eu",23
"S01000062",2001,"elsewhere",39
"S01000063",2001,"all_people",983
"S01000063",2001,"england",116
"S01000063",2001,"scotland",784
"S01000063",2001,"wales",4
"S01000063",2001,"northern_ireland",12
"S01000063",2001,"rep_ireland",5
"S01000063",2001,"other_eu",21
"S01000063",2001,"elsewhere",41
"S01000064",2001,"all_people",648
"S01000064",2001,"england",32
"S01000064",2001,"scotland",594
"S01000064",2001,"wales",0
"S01000064",2001,"northern_ireland",4
"S01000064",2001,"rep_ireland",1
"S01000064",2001,"other_eu",5
"S01000064",2001,"elsewhere",12
"S01000065",2001,"all_people",1114
"S01000065",2001,"england",119
"S01000065",2001,"scotland",922
"S01000065",2001,"wales",4
"S01000065",2001,"northern_ireland",8
"S01000065",2001,"rep_ireland",3
"S01000065",2001,"other_eu",17
"S01000065",2001,"elsewhere",41
"S01000066",2001,"all_people",1011
"S01000066",2001,"england",81
"S01000066",2001,"scotland",894
"S01000066",2001,"wales",6
"S01000066",2001,"northern_ireland",3
"S01000066",2001,"rep_ireland",3
"S01000066",2001,"other_eu",10
"S01000066",2001,"elsewhere",14
"S01000067",2001,"all_people",1068
"S01000067",2001,"england",98
"S01000067",2001,"scotland",870
"S01000067",2001,"wales",6
"S01000067",2001,"northern_ireland",4
"S01000067",2001,"rep_ireland",2
"S01000067",2001,"other_eu",18
"S01000067",2001,"elsewhere",70
"S01000068",2001,"all_people",1021
"S01000068",2001,"england",135
"S01000068",2001,"scotland",769
"S01000068",2001,"wales",6
"S01000068",2001,"northern_ireland",11
"S01000068",2001,"rep_ireland",2
"S01000068",2001,"other_eu",23
"S01000068",2001,"elsewhere",75
"S01000069",2001,"all_people",684
"S01000069",2001,"england",24
"S01000069",2001,"scotland",637
"S01000069",2001,"wales",0
"S01000069",2001,"northern_ireland",7
"S01000069",2001,"rep_ireland",2
"S01000069",2001,"other_eu",6
"S01000069",2001,"elsewhere",8
"S01000070",2001,"all_people",646
"S01000070",2001,"england",33
"S01000070",2001,"scotland",595
"S01000070",2001,"wales",2
"S01000070",2001,"northern_ireland",1
"S01000070",2001,"rep_ireland",2
"S01000070",2001,"other_eu",3
"S01000070",2001,"elsewhere",10
"S01000071",2001,"all_people",887
"S01000071",2001,"england",44
"S01000071",2001,"scotland",810
"S01000071",2001,"wales",3
"S01000071",2001,"northern_ireland",1
"S01000071",2001,"rep_ireland",1
"S01000071",2001,"other_eu",10
"S01000071",2001,"elsewhere",18
"S01000072",2001,"all_people",1262
"S01000072",2001,"england",163
"S01000072",2001,"scotland",964
"S01000072",2001,"wales",8
"S01000072",2001,"northern_ireland",8
"S01000072",2001,"rep_ireland",3
"S01000072",2001,"other_eu",33
"S01000072",2001,"elsewhere",83
"S01000073",2001,"all_people",619
"S01000073",2001,"england",32
"S01000073",2001,"scotland",554
"S01000073",2001,"wales",5
"S01000073",2001,"northern_ireland",2
"S01000073",2001,"rep_ireland",1
"S01000073",2001,"other_eu",2
"S01000073",2001,"elsewhere",23
"S01000074",2001,"all_people",1058
"S01000074",2001,"england",68
"S01000074",2001,"scotland",967
"S01000074",2001,"wales",4
"S01000074",2001,"northern_ireland",0
"S01000074",2001,"rep_ireland",1
"S01000074",2001,"other_eu",7
"S01000074",2001,"elsewhere",11
"S01000075",2001,"all_people",547
"S01000075",2001,"england",65
"S01000075",2001,"scotland",446
"S01000075",2001,"wales",0
"S01000075",2001,"northern_ireland",10
"S01000075",2001,"rep_ireland",1
"S01000075",2001,"other_eu",12
"S01000075",2001,"elsewhere",13
"S01000076",2001,"all_people",770
"S01000076",2001,"england",57
"S01000076",2001,"scotland",668
"S01000076",2001,"wales",5
"S01000076",2001,"northern_ireland",3
"S01000076",2001,"rep_ireland",1
"S01000076",2001,"other_eu",3
"S01000076",2001,"elsewhere",33
"S01000077",2001,"all_people",917
"S01000077",2001,"england",116
"S01000077",2001,"scotland",719
"S01000077",2001,"wales",9
"S01000077",2001,"northern_ireland",7
"S01000077",2001,"rep_ireland",1
"S01000077",2001,"other_eu",17
"S01000077",2001,"elsewhere",48
"S01000078",2001,"all_people",1087
"S01000078",2001,"england",103
"S01000078",2001,"scotland",923
"S01000078",2001,"wales",6
"S01000078",2001,"northern_ireland",3
"S01000078",2001,"rep_ireland",8
"S01000078",2001,"other_eu",22
"S01000078",2001,"elsewhere",22
"S01000079",2001,"all_people",1666
"S01000079",2001,"england",256
"S01000079",2001,"scotland",1186
"S01000079",2001,"wales",6
"S01000079",2001,"northern_ireland",24
"S01000079",2001,"rep_ireland",19
"S01000079",2001,"other_eu",54
"S01000079",2001,"elsewhere",121
"S01000080",2001,"all_people",927
"S01000080",2001,"england",98
"S01000080",2001,"scotland",745
"S01000080",2001,"wales",11
"S01000080",2001,"northern_ireland",4
"S01000080",2001,"rep_ireland",3
"S01000080",2001,"other_eu",20
"S01000080",2001,"elsewhere",46
"S01000081",2001,"all_people",924
"S01000081",2001,"england",87
"S01000081",2001,"scotland",753
"S01000081",2001,"wales",9
"S01000081",2001,"northern_ireland",9
"S01000081",2001,"rep_ireland",4
"S01000081",2001,"other_eu",18
"S01000081",2001,"elsewhere",44
"S01000082",2001,"all_people",954
"S01000082",2001,"england",63
"S01000082",2001,"scotland",858
"S01000082",2001,"wales",3
"S01000082",2001,"northern_ireland",4
"S01000082",2001,"rep_ireland",1
"S01000082",2001,"other_eu",11
"S01000082",2001,"elsewhere",14
"S01000083",2001,"all_people",870
"S01000083",2001,"england",123
"S01000083",2001,"scotland",658
"S01000083",2001,"wales",4
"S01000083",2001,"northern_ireland",6
"S01000083",2001,"rep_ireland",9
"S01000083",2001,"other_eu",27
"S01000083",2001,"elsewhere",43
"S01000084",2001,"all_people",791
"S01000084",2001,"england",48
"S01000084",2001,"scotland",699
"S01000084",2001,"wales",1
"S01000084",2001,"northern_ireland",3
"S01000084",2001,"rep_ireland",2
"S01000084",2001,"other_eu",22
"S01000084",2001,"elsewhere",16
"S01000085",2001,"all_people",555
"S01000085",2001,"england",50
"S01000085",2001,"scotland",455
"S01000085",2001,"wales",5
"S01000085",2001,"northern_ireland",5
"S01000085",2001,"rep_ireland",5
"S01000085",2001,"other_eu",8
"S01000085",2001,"elsewhere",27
"S01000086",2001,"all_people",745
"S01000086",2001,"england",111
"S01000086",2001,"scotland",532
"S01000086",2001,"wales",3
"S01000086",2001,"northern_ireland",3
"S01000086",2001,"rep_ireland",5
"S01000086",2001,"other_eu",27
"S01000086",2001,"elsewhere",64
"S01000087",2001,"all_people",1765
"S01000087",2001,"england",205
"S01000087",2001,"scotland",1210
"S01000087",2001,"wales",23
"S01000087",2001,"northern_ireland",45
"S01000087",2001,"rep_ireland",30
"S01000087",2001,"other_eu",104
"S01000087",2001,"elsewhere",148
"S01000088",2001,"all_people",715
"S01000088",2001,"england",106
"S01000088",2001,"scotland",511
"S01000088",2001,"wales",5
"S01000088",2001,"northern_ireland",4
"S01000088",2001,"rep_ireland",5
"S01000088",2001,"other_eu",23
"S01000088",2001,"elsewhere",61
"S01000089",2001,"all_people",1003
"S01000089",2001,"england",95
"S01000089",2001,"scotland",808
"S01000089",2001,"wales",3
"S01000089",2001,"northern_ireland",10
"S01000089",2001,"rep_ireland",2
"S01000089",2001,"other_eu",18
"S01000089",2001,"elsewhere",67
"S01000090",2001,"all_people",1010
"S01000090",2001,"england",171
"S01000090",2001,"scotland",693
"S01000090",2001,"wales",7
"S01000090",2001,"northern_ireland",12
"S01000090",2001,"rep_ireland",1
"S01000090",2001,"other_eu",39
"S01000090",2001,"elsewhere",87
"S01000091",2001,"all_people",1021
"S01000091",2001,"england",123
"S01000091",2001,"scotland",782
"S01000091",2001,"wales",6
"S01000091",2001,"northern_ireland",11
"S01000091",2001,"rep_ireland",14
"S01000091",2001,"other_eu",20
"S01000091",2001,"elsewhere",65
"S01000092",2001,"all_people",851
"S01000092",2001,"england",112
"S01000092",2001,"scotland",631
"S01000092",2001,"wales",8
"S01000092",2001,"northern_ireland",12
"S01000092",2001,"rep_ireland",6
"S01000092",2001,"other_eu",14
"S01000092",2001,"elsewhere",68
"S01000093",2001,"all_people",499
"S01000093",2001,"england",49
"S01000093",2001,"scotland",365
"S01000093",2001,"wales",3
"S01000093",2001,"northern_ireland",3
"S01000093",2001,"rep_ireland",8
"S01000093",2001,"other_eu",6
"S01000093",2001,"elsewhere",65
"S01000094",2001,"all_people",637
"S01000094",2001,"england",110
"S01000094",2001,"scotland",450
"S01000094",2001,"wales",6
"S01000094",2001,"northern_ireland",18
"S01000094",2001,"rep_ireland",5
"S01000094",2001,"other_eu",10
"S01000094",2001,"elsewhere",38
"S01000095",2001,"all_people",703
"S01000095",2001,"england",82
"S01000095",2001,"scotland",531
"S01000095",2001,"wales",2
"S01000095",2001,"northern_ireland",8
"S01000095",2001,"rep_ireland",1
"S01000095",2001,"other_eu",21
"S01000095",2001,"elsewhere",58
"S01000096",2001,"all_people",706
"S01000096",2001,"england",42
"S01000096",2001,"scotland",627
"S01000096",2001,"wales",1
"S01000096",2001,"northern_ireland",2
"S01000096",2001,"rep_ireland",0
"S01000096",2001,"other_eu",6
"S01000096",2001,"elsewhere",28
"S01000097",2001,"all_people",1291
"S01000097",2001,"england",178
"S01000097",2001,"scotland",898
"S01000097",2001,"wales",8
"S01000097",2001,"northern_ireland",13
"S01000097",2001,"rep_ireland",7
"S01000097",2001,"other_eu",44
"S01000097",2001,"elsewhere",143
"S01000098",2001,"all_people",1539
"S01000098",2001,"england",241
"S01000098",2001,"scotland",1076
"S01000098",2001,"wales",13
"S01000098",2001,"northern_ireland",17
"S01000098",2001,"rep_ireland",10
"S01000098",2001,"other_eu",23
"S01000098",2001,"elsewhere",159
"S01000099",2001,"all_people",916
"S01000099",2001,"england",86
"S01000099",2001,"scotland",769
"S01000099",2001,"wales",1
"S01000099",2001,"northern_ireland",4
"S01000099",2001,"rep_ireland",2
"S01000099",2001,"other_eu",12
"S01000099",2001,"elsewhere",42
"S01000100",2001,"all_people",760
"S01000100",2001,"england",107
"S01000100",2001,"scotland",561
"S01000100",2001,"wales",3
"S01000100",2001,"northern_ireland",15
"S01000100",2001,"rep_ireland",10
"S01000100",2001,"other_eu",12
"S01000100",2001,"elsewhere",52
"S01000101",2001,"all_people",988
"S01000101",2001,"england",169
"S01000101",2001,"scotland",679
"S01000101",2001,"wales",6
"S01000101",2001,"northern_ireland",6
"S01000101",2001,"rep_ireland",9
"S01000101",2001,"other_eu",42
"S01000101",2001,"elsewhere",77
"S01000102",2001,"all_people",832
"S01000102",2001,"england",83
"S01000102",2001,"scotland",662
"S01000102",2001,"wales",4
"S01000102",2001,"northern_ireland",6
"S01000102",2001,"rep_ireland",0
"S01000102",2001,"other_eu",15
"S01000102",2001,"elsewhere",62
"S01000103",2001,"all_people",603
"S01000103",2001,"england",97
"S01000103",2001,"scotland",419
"S01000103",2001,"wales",3
"S01000103",2001,"northern_ireland",9
"S01000103",2001,"rep_ireland",2
"S01000103",2001,"other_eu",17
"S01000103",2001,"elsewhere",56
"S01000104",2001,"all_people",1015
"S01000104",2001,"england",120
"S01000104",2001,"scotland",756
"S01000104",2001,"wales",7
"S01000104",2001,"northern_ireland",11
"S01000104",2001,"rep_ireland",2
"S01000104",2001,"other_eu",37
"S01000104",2001,"elsewhere",82
