"datazone","year","type","count"
"S01000001",2001,"all_people",1008
"S01000001",2001,"england",146
"S01000001",2001,"scotland",765
"S01000001",2001,"wales",16
"S01000001",2001,"northern_ireland",3
"S01000001",2001,"rep_ireland",3
"S01000001",2001,"other_eu",22
"S01000001",2001,"elsewhere",53
"S01000002",2001,"all_people",687
"S01000002",2001,"england",66
"S01000002",2001,"scotland",591
"S01000002",2001,"wales",0
"S01000002",2001,"northern_ireland",4
"S01000002",2001,"rep_ireland",1
"S01000002",2001,"other_eu",6
"S01000002",2001,"elsewhere",19
"S01000003",2001,"all_people",838
"S01000003",2001,"england",54
"S01000003",2001,"scotland",759
"S01000003",2001,"wales",2
"S01000003",2001,"northern_ireland",4
"S01000003",2001,"rep_ireland",0
"S01000003",2001,"other_eu",2
"S01000003",2001,"elsewhere",17
"S01000004",2001,"all_people",641
"S01000004",2001,"england",50
"S01000004",2001,"scotland",557
"S01000004",2001,"wales",0
"S01000004",2001,"northern_ireland",3
"S01000004",2001,"rep_ireland",0
"S01000004",2001,"other_eu",7
"S01000004",2001,"elsewhere",24
"S01000005",2001,"all_people",663
"S01000005",2001,"england",81
"S01000005",2001,"scotland",524
"S01000005",2001,"wales",7
"S01000005",2001,"northern_ireland",1
"S01000005",2001,"rep_ireland",1
"S01000005",2001,"other_eu",12
"S01000005",2001,"elsewhere",37
"S01000006",2001,"all_people",626
"S01000006",2001,"england",56
"S01000006",2001,"scotland",542
"S01000006",2001,"wales",4
"S01000006",2001,"northern_ireland",0
"S01000006",2001,"rep_ireland",3
"S01000006",2001,"other_eu",4
"S01000006",2001,"elsewhere",17
"S01000007",2001,"all_people",924
"S01000007",2001,"england",120
"S01000007",2001,"scotland",749
"S01000007",2001,"wales",1
"S01000007",2001,"northern_ireland",2
"S01000007",2001,"rep_ireland",1
"S01000007",2001,"other_eu",13
"S01000007",2001,"elsewhere",38
"S01000008",2001,"all_people",584
"S01000008",2001,"england",42
"S01000008",2001,"scotland",523
"S01000008",2001,"wales",1
"S01000008",2001,"northern_ireland",1
"S01000008",2001,"rep_ireland",0
"S01000008",2001,"other_eu",3
"S01000008",2001,"elsewhere",14
"S01000009",2001,"all_people",710
"S01000009",2001,"england",48
"S01000009",2001,"scotland",648
"S01000009",2001,"wales",1
"S01000009",2001,"northern_ireland",0
"S01000009",2001,"rep_ireland",0
"S01000009",2001,"other_eu",1
"S01000009",2001,"elsewhere",12
"S01000010",2001,"all_people",568
"S01000010",2001,"england",38
"S01000010",2001,"scotland",506
"S01000010",2001,"wales",0
"S01000010",2001,"northern_ireland",1
"S01000010",2001,"rep_ireland",2
"S01000010",2001,"other_eu",3
"S01000010",2001,"elsewhere",18
"S01000011",2001,"all_people",918
"S01000011",2001,"england",142
"S01000011",2001,"scotland",584
"S01000011",2001,"wales",12
"S01000011",2001,"northern_ireland",2
"S01000011",2001,"rep_ireland",2
"S01000011",2001,"other_eu",60
"S01000011",2001,"elsewhere",116
"S01000012",2001,"all_people",1332
"S01000012",2001,"england",69
"S01000012",2001,"scotland",1203
"S01000012",2001,"wales",5
"S01000012",2001,"northern_ireland",6
"S01000012",2001,"rep_ireland",2
"S01000012",2001,"other_eu",12
"S01000012",2001,"elsewhere",35
"S01000013",2001,"all_people",898
"S01000013",2001,"england",82
"S01000013",2001,"scotland",744
"S01000013",2001,"wales",4
"S01000013",2001,"northern_ireland",1
"S01000013",2001,"rep_ireland",3
"S01000013",2001,"other_eu",16
"S01000013",2001,"elsewhere",48
"S01000014",2001,"all_people",1097
"S01000014",2001,"england",87
"S01000014",2001,"scotland",965
"S01000014",2001,"wales",1
"S01000014",2001,"northern_ireland",6
"S01000014",2001,"rep_ireland",0
"S01000014",2001,"other_eu",12
"S01000014",2001,"elsewhere",26
"S01000015",2001,"all_people",869
"S01000015",2001,"england",54
"S01000015",2001,"scotland",783
"S01000015",2001,"wales",1
"S01000015",2001,"northern_ireland",10
"S01000015",2001,"rep_ireland",4
"S01000015",2001,"other_eu",1
"S01000015",2001,"elsewhere",16
"S01000016",2001,"all_people",763
"S01000016",2001,"england",125
"S01000016",2001,"scotland",421
"S01000016",2001,"wales",12
"S01000016",2001,"northern_ireland",4
"S01000016",2001,"rep_ireland",8
"S01000016",2001,"other_eu",72
"S01000016",2001,"elsewhere",121
"S01000017",2001,"all_people",937
"S01000017",2001,"england",43
"S01000017",2001,"scotland",864
"S01000017",2001,"wales",5
"S01000017",2001,"northern_ireland",6
"S01000017",2001,"rep_ireland",2
"S01000017",2001,"other_eu",1
"S01000017",2001,"elsewhere",16
"S01000018",2001,"all_people",577
"S01000018",2001,"england",25
"S01000018",2001,"scotland",540
"S01000018",2001,"wales",0
"S01000018",2001,"northern_ireland",0
"S01000018",2001,"rep_ireland",1
"S01000018",2001,"other_eu",8
"S01000018",2001,"elsewhere",3
"S01000019",2001,"all_people",531
"S01000019",2001,"england",57
"S01000019",2001,"scotland",429
"S01000019",2001,"wales",6
"S01000019",2001,"northern_ireland",3
"S01000019",2001,"rep_ireland",4
"S01000019",2001,"other_eu",4
"S01000019",2001,"elsewhere",28
"S01000020",2001,"all_people",1065
"S01000020",2001,"england",188
"S01000020",2001,"scotland",678
"S01000020",2001,"wales",11
"S01000020",2001,"northern_ireland",7
"S01000020",2001,"rep_ireland",7
"S01000020",2001,"other_eu",78
"S01000020",2001,"elsewhere",96
"S01000021",2001,"all_people",862
"S01000021",2001,"england",39
"S01000021",2001,"scotland",763
"S01000021",2001,"wales",1
"S01000021",2001,"northern_ireland",1
"S01000021",2001,"rep_ireland",0
"S01000021",2001,"other_eu",22
"S01000021",2001,"elsewhere",36
"S01000022",2001,"all_people",663
"S01000022",2001,"england",120
"S01000022",2001,"scotland",435
"S01000022",2001,"wales",4
"S01000022",2001,"northern_ireland",4
"S01000022",2001,"rep_ireland",5
"S01000022",2001,"other_eu",18
"S01000022",2001,"elsewhere",77
"S01000023",2001,"all_people",805
"S01000023",2001,"england",141
"S01000023",2001,"scotland",521
"S01000023",2001,"wales",11
"S01000023",2001,"northern_ireland",6
"S01000023",2001,"rep_ireland",8
"S01000023",2001,"other_eu",27
"S01000023",2001,"elsewhere",91
"S01000024",2001,"all_people",512
"S01000024",2001,"england",99
"S01000024",2001,"scotland",350
"S01000024",2001,"wales",2
"S01000024",2001,"northern_ireland",7
"S01000024",2001,"rep_ireland",0
"S01000024",2001,"other_eu",20
"S01000024",2001,"elsewhere",34
"S01000025",2001,"all_people",874
"S01000025",2001,"england",184
"S01000025",2001,"scotland",514
"S01000025",2001,"wales",13
"S01000025",2001,"northern_ireland",5
"S01000025",2001,"rep_ireland",5
"S01000025",2001,"other_eu",50
"S01000025",2001,"elsewhere",103
"S01000026",2001,"all_people",1053
"S01000026",2001,"england",42
"S01000026",2001,"scotland",991
"S01000026",2001,"wales",0
"S01000026",2001,"northern_ireland",0
"S01000026",2001,"rep_ireland",0
"S01000026",2001,"other_eu",6
"S01000026",2001,"elsewhere",14
"S01000027",2001,"all_people",815
"S01000027",2001,"england",84
"S01000027",2001,"scotland",648
"S01000027",2001,"wales",8
"S01000027",2001,"northern_ireland",4
"S01000027",2001,"rep_ireland",2
"S01000027",2001,"other_eu",6
"S01000027",2001,"elsewhere",63
"S01000028",2001,"all_people",969
"S01000028",2001,"england",30
"S01000028",2001,"scotland",919
"S01000028",2001,"wales",4
"S01000028",2001,"northern_ireland",5
"S01000028",2001,"rep_ireland",1
"S01000028",2001,"other_eu",0
"S01000028",2001,"elsewhere",10
"S01000029",2001,"all_people",742
"S01000029",2001,"england",131
"S01000029",2001,"scotland",400
"S01000029",2001,"wales",5
"S01000029",2001,"northern_ireland",4
"S01000029",2001,"rep_ireland",1
"S01000029",2001,"other_eu",80
"S01000029",2001,"elsewhere",121
"S01000030",2001,"all_people",500
"S01000030",2001,"england",11
"S01000030",2001,"scotland",476
"S01000030",2001,"wales",0
"S01000030",2001,"northern_ireland",0
"S01000030",2001,"rep_ireland",0
"S01000030",2001,"other_eu",1
"S01000030",2001,"elsewhere",12
"S01000031",2001,"all_people",1029
"S01000031",2001,"england",149
"S01000031",2001,"scotland",734
"S01000031",2001,"wales",7
"S01000031",2001,"northern_ireland",8
"S01000031",2001,"rep_ireland",6
"S01000031",2001,"other_eu",26
"S01000031",2001,"elsewhere",99
"S01000032",2001,"all_people",1089
"S01000032",2001,"england",39
"S01000032",2001,"scotland",1034
"S01000032",2001,"wales",1
"S01000032",2001,"northern_ireland",3
"S01000032",2001,"rep_ireland",1
"S01000032",2001,"other_eu",4
"S01000032",2001,"elsewhere",7
"S01000033",2001,"all_people",796
"S01000033",2001,"england",36
"S01000033",2001,"scotland",737
"S01000033",2001,"wales",0
"S01000033",2001,"northern_ireland",2
"S01000033",2001,"rep_ireland",1
"S01000033",2001,"other_eu",8
"S01000033",2001,"elsewhere",12
"S01000034",2001,"all_people",1194
"S01000034",2001,"england",206
"S01000034",2001,"scotland",845
"S01000034",2001,"wales",8
"S01000034",2001,"northern_ireland",7
"S01000034",2001,"rep_ireland",4
"S01000034",2001,"other_eu",33
"S01000034",2001,"elsewhere",91
"S01000035",2001,"all_people",1009
"S01000035",2001,"england",47
"S01000035",2001,"scotland",912
"S01000035",2001,"wales",0
"S01000035",2001,"northern_ireland",2
"S01000035",2001,"rep_ireland",0
"S01000035",2001,"other_eu",8
"S01000035",2001,"elsewhere",40
"S01000036",2001,"all_people",744
"S01000036",2001,"england",29
"S01000036",2001,"scotland",687
"S01000036",2001,"wales",0
"S01000036",2001,"northern_ireland",3
"S01000036",2001,"rep_ireland",1
"S01000036",2001,"other_eu",7
"S01000036",2001,"elsewhere",17
"S01000037",2001,"all_people",800
"S01000037",2001,"england",38
"S01000037",2001,"scotland",724
"S01000037",2001,"wales",2
"S01000037",2001,"northern_ireland",6
"S01000037",2001,"rep_ireland",0
"S01000037",2001,"other_eu",8
"S01000037",2001,"elsewhere",22
"S01000038",2001,"all_people",684
"S01000038",2001,"england",18
"S01000038",2001,"scotland",651
"S01000038",2001,"wales",0
"S01000038",2001,"northern_ireland",1
"S01000038",2001,"rep_ireland",2
"S01000038",2001,"other_eu",4
"S01000038",2001,"elsewhere",8
"S01000039",2001,"all_people",942
"S01000039",2001,"england",39
"S01000039",2001,"scotland",869
"S01000039",2001,"wales",0
"S01000039",2001,"northern_ireland",3
"S01000039",2001,"rep_ireland",3
"S01000039",2001,"other_eu",13
"S01000039",2001,"elsewhere",15
"S01000040",2001,"all_people",970
