datazone,local_authority
S01000253,Aberdeen City
S01000174,Aberdeen City
S01000087,Aberdeen City
S01000247,Aberdeen City
S01000258,Aberdeen City
S01000063,Aberdeen City
S01000099,Aberdeen City
S01000251,Aberdeen City
S01000161,Aberdeen City
S01000231,Aberdeen City
S01000073,Aberdeen City
S01000095,Aberdeen City
S01000143,Aberdeen City
S01000081,Aberdeen City
S01000097,Aberdeen City
S01000106,Aberdeen City
S01000083,Aberdeen City
S01000238,Aberdeen City
S01000241,Aberdeen City
S01000243,Aberdeen City
S01000127,Aberdeen City
S01000113,Aberdeen City
S01000486,Aberdeenshire
S01000564,Aberdeenshire
S01000563,Aberdeenshire
S01000489,Aberdeenshire
S01000491,Aberdeenshire
S01000482,Aberdeenshire
S01000562,Aberdeenshire
S01000560,Aberdeenshire
S01000494,Aberdeenshire
S01000492,Aberdeenshire
S01000567,Aberdeenshire
S01000460,Aberdeenshire
S01000556,Aberdeenshire
S01000539,Aberdeenshire
S01000483,Aberdeenshire
S01000566,Aberdeenshire
S01000554,Aberdeenshire
S01000488,Aberdeenshire
S01000521,Aberdeenshire
S01000278,Aberdeenshire
S01000479,Aberdeenshire
S01000565,Aberdeenshire
S01000500,Aberdeenshire
S01000523,Aberdeenshire
S01000534,Aberdeenshire
S01000529,Aberdeenshire
S01000559,Aberdeenshire
S01000513,Aberdeenshire
S01000431,Aberdeenshire
S01000290,Aberdeenshire
S01000478,Aberdeenshire
S01000531,Aberdeenshire
S01000461,Aberdeenshire
S01000546,Aberdeenshire
S01000473,Aberdeenshire
S01000532,Aberdeenshire
S01000545,Aberdeenshire
S01000396,Aberdeenshire
S01000268,Aberdeenshire
S01000455,Aberdeenshire
S01000561,Aberdeenshire
S01000484,Aberdeenshire
S01000441,Aberdeenshire
S01000540,Aberdeenshire
S01000555,Aberdeenshire
S01000541,Aberdeenshire
S01000533,Aberdeenshire
S01000503,Aberdeenshire
S01000271,Aberdeenshire
S01000390,Aberdeenshire
S01000544,Aberdeenshire
S01000463,Aberdeenshire
S01000524,Aberdeenshire
S01000462,Aberdeenshire
S01000514,Aberdeenshire
S01000467,Aberdeenshire
S01000487,Aberdeenshire
S01000548,Aberdeenshire
S01000542,Aberdeenshire
S01000384,Aberdeenshire
S01000449,Aberdeenshire
S01000522,Aberdeenshire
S01000568,Aberdeenshire
S01000510,Aberdeenshire
S01000507,Aberdeenshire
S01000502,Aberdeenshire
S01000517,Aberdeenshire
S01000547,Aberdeenshire
S01000475,Aberdeenshire
S01000538,Aberdeenshire
S01000406,Aberdeenshire
S01000459,Aberdeenshire
S01000434,Aberdeenshire
S01000474,Aberdeenshire
S01000375,Aberdeenshire
S01000525,Aberdeenshire
S01000520,Aberdeenshire
S01000526,Aberdeenshire
S01000535,Aberdeenshire
S01000342,Aberdeenshire
S01000481,Aberdeenshire
S01000376,Aberdeenshire
S01000537,Aberdeenshire
S01000557,Aberdeenshire
S01000273,Aberdeenshire
S01000281,Aberdeenshire
S01000407,Aberdeenshire
S01000551,Aberdeenshire
S01000329,Aberdeenshire
S01000399,Aberdeenshire
S01000528,Aberdeenshire
S01000508,Aberdeenshire
S01000360,Aberdeenshire
S01000400,Aberdeenshire
S01000530,Aberdeenshire
S01000536,Aberdeenshire
S01000518,Aberdeenshire
S01000476,Aberdeenshire
S01000464,Aberdeenshire
S01000274,Aberdeenshire
S01000493,Aberdeenshire
S01000331,Aberdeenshire
S01000452,Aberdeenshire
S01000454,Aberdeenshire
S01000472,Aberdeenshire
S01000501,Aberdeenshire
S01000516,Aberdeenshire
S01000515,Aberdeenshire
S01000468,Aberdeenshire
S01000543,Aberdeenshire
S01000466,Aberdeenshire
S01000316,Aberdeenshire
S01000504,Aberdeenshire
S01000453,Aberdeenshire
S01000385,Aberdeenshire
S01000270,Aberdeenshire
S01000505,Aberdeenshire
S01000477,Aberdeenshire
S01000456,Aberdeenshire
S01000282,Aberdeenshire
S01000317,Aberdeenshire
S01000415,Aberdeenshire
S01000394,Aberdeenshire
S01000338,Aberdeenshire
S01000448,Aberdeenshire
S01000439,Aberdeenshire
S01000471,Aberdeenshire
S01000386,Aberdeenshire
S01000335,Aberdeenshire
S01000369,Aberdeenshire
S01000527,Aberdeenshire
S01000344,Aberdeenshire
S01000280,Aberdeenshire
S01000293,Aberdeenshire
S01000418,Aberdeenshire
S01000383,Aberdeenshire
S01000328,Aberdeenshire
S01000303,Aberdeenshire
S01000519,Aberdeenshire
S01000425,Aberdeenshire
S01000277,Aberdeenshire
S01000302,Aberdeenshire
S01000506,Aberdeenshire
S01000364,Aberdeenshire
S01000305,Aberdeenshire
S01000445,Aberdeenshire
S01000446,Aberdeenshire
S01000393,Aberdeenshire
S01000354,Aberdeenshire
S01000424,Aberdeenshire
S01000433,Aberdeenshire
S01000509,Aberdeenshire
S01000458,Aberdeenshire
S01000499,Aberdeenshire
S01000286,Aberdeenshire
S01000391,Aberdeenshire
S01000465,Aberdeenshire
S01000451,Aberdeenshire
S01000289,Aberdeenshire
S01000419,Aberdeenshire
S01000326,Aberdeenshire
S01000440,Aberdeenshire
S01000558,Aberdeenshire
S01000341,Aberdeenshire
S01000272,Aberdeenshire
S01000447,Aberdeenshire
S01000511,Aberdeenshire
S01000387,Aberdeenshire
S01000444,Aberdeenshire
S01000283,Aberdeenshire
S01000497,Aberdeenshire
S01000371,Aberdeenshire
S01000336,Aberdeenshire
S01000443,Aberdeenshire
S01000495,Aberdeenshire
S01000285,Aberdeenshire
S01000397,Aberdeenshire
S01000309,Aberdeenshire
S01000437,Aberdeenshire
S01000395,Aberdeenshire
S01000269,Aberdeenshire
S01000412,Aberdeenshire
S01000402,Aberdeenshire
S01000284,Aberdeenshire
S01000426,Aberdeenshire
S01000372,Aberdeenshire
S01000422,Aberdeenshire
S01000549,Aberdeenshire
S01000300,Aberdeenshire
S01000413,Aberdeenshire
S01000553,Aberdeenshire
S01000382,Aberdeenshire
S01000330,Aberdeenshire
S01000356,Aberdeenshire
S01000450,Aberdeenshire
S01000306,Aberdeenshire
S01000365,Aberdeenshire
S01000370,Aberdeenshire
S01000388,Aberdeenshire
S01000334,Aberdeenshire
S01000347,Aberdeenshire
S01000411,Aberdeenshire
S01000401,Aberdeenshire
S01000421,Aberdeenshire
S01000343,Aberdeenshire
S01000297,Aberdeenshire
S01000299,Aberdeenshire
S01000308,Aberdeenshire
S01000442,Aberdeenshire
S01000340,Aberdeenshire
S01000498,Aberdeenshire
S01000389,Aberdeenshire
S01000405,Aberdeenshire
S01000337,Aberdeenshire
S01000312,Aberdeenshire
S01000378,Aberdeenshire
S01000420,Aberdeenshire
S01000379,Aberdeenshire
S01000333,Aberdeenshire
S01000307,Aberdeenshire
S01000512,Aberdeenshire
S01000427,Aberdeenshire
S01000377,Aberdeenshire
S01000416,Aberdeenshire
S01000403,Aberdeenshire
S01000332,Aberdeenshire
S01000398,Aberdeenshire
S01000301,Aberdeenshire
S01000323,Aberdeenshire
S01000410,Aberdeenshire
S01000414,Aberdeenshire
S01000366,Aberdeenshire
S01000392,Aberdeenshire
S01000275,Aberdeenshire
S01000362,Aberdeenshire
S01000480,Aberdeenshire
S01000279,Aberdeenshire
S01000363,Aberdeenshire
S01000361,Aberdeenshire
S01000552,Aberdeenshire
S01000292,Aberdeenshire
S01000380,Aberdeenshire
S01000367,Aberdeenshire
S01000435,Aberdeenshire
S01000457,Aberdeenshire
S01000321,Aberdeenshire
S01000423,Aberdeenshire
S01000430,Aberdeenshire
S01000349,Aberdeenshire
S01000314,Aberdeenshire
S01000496,Aberdeenshire
S01000428,Aberdeenshire
S01000325,Aberdeenshire
S01000319,Aberdeenshire
S01000381,Aberdeenshire
S01000313,Aberdeenshire
S01000470,Aberdeenshire
S01000490,Aberdeenshire
S01000304,Aberdeenshire
S01000345,Aberdeenshire
S01000276,Aberdeenshire
S01000417,Aberdeenshire
S01000485,Aberdeenshire
S01000409,Aberdeenshire
S01000368,Aberdeenshire
S01000287,Aberdeenshire
S01000339,Aberdeenshire
S01000311,Aberdeenshire
S01000432,Aberdeenshire
S01000288,Aberdeenshire
S01000350,Aberdeenshire
S01000291,Aberdeenshire
S01000469,Aberdeenshire
S01000310,Aberdeenshire
S01000353,Aberdeenshire
S01000324,Aberdeenshire
S01000320,Aberdeenshire
S01000298,Aberdeenshire
S01000436,Aberdeenshire
S01000404,Aberdeenshire
S01000550,Aberdeenshire
S01000346,Aberdeenshire
S01000327,Aberdeenshire
S01000429,Aberdeenshire
S01000294,Aberdeenshire
S01000374,Aberdeenshire
S01000315,Aberdeenshire
S01000351,Aberdeenshire
S01000408,Aberdeenshire
S01000355,Aberdeenshire
S01000295,Aberdeenshire
S01000296,Aberdeenshire
S01000348,Aberdeenshire
S01000359,Aberdeenshire
S01000322,Aberdeenshire
S01000373,Aberdeenshire
S01000358,Aberdeenshire
S01000438,Aberdeenshire
S01000352,Aberdeenshire
S01000357,Aberdeenshire
S01000318,Aberdeenshire
S01000626,Angus
S01000620,Angus
S01000625,Angus
S01000606,Angus
S01000609,Angus
S01000693,Angus
S01000608,Angus
S01000611,Angus
S01000692,Angus
S01000610,Angus
S01000648,Angus
S01000655,Angus
S01000615,Angus
S01000622,Angus
S01000680,Angus
S01000658,Angus
S01000612,Angus
S01000631,Angus
S01000657,Angus
S01000684,Angus
S01000681,Angus
S01000679,Angus
S01000628,Angus
S01000687,Angus
S01000668,Angus
S01000634,Angus
S01000677,Angus
S01000653,Angus
S01000669,Angus
S01000656,Angus
S01000623,Angus
S01000654,Angus
S01000696,Angus
S01000584,Angus
S01000651,Angus
S01000630,Angus
S01000686,Angus
S01000682,Angus
S01000621,Angus
S01000691,Angus
S01000694,Angus
S01000624,Angus
S01000635,Angus
S01000699,Angus
S01000627,Angus
S01000689,Angus
S01000571,Angus
S01000587,Angus
S01000645,Angus
S01000602,Angus
S01000647,Angus
S01000614,Angus
S01000710,Angus
S01000698,Angus
S01000695,Angus
S01000632,Angus
S01000585,Angus
S01000700,Angus
S01000629,Angus
S01000664,Angus
S01000703,Angus
S01000674,Angus
S01000650,Angus
S01000582,Angus
S01000636,Angus
S01000661,Angus
S01000676,Angus
S01000613,Angus
S01000637,Angus
S01000640,Angus
S01000586,Angus
S01000678,Angus
S01000683,Angus
S01000618,Angus
S01000662,Angus
S01000639,Angus
S01000616,Angus
S01000672,Angus
S01000663,Angus
S01000697,Angus
S01000704,Angus
S01000670,Angus
S01000667,Angus
S01000665,Angus
S01000649,Angus
S01000708,Angus
S01000570,Angus
S01000641,Angus
S01000642,Angus
S01000666,Angus
S01000643,Angus
S01000644,Angus
S01000707,Angus
S01000688,Angus
S01000638,Angus
S01000603,Angus
S01000685,Angus
S01000607,Angus
S01000593,Angus
S01000601,Angus
S01000600,Angus
S01000619,Angus
S01000652,Angus
S01000709,Angus
S01000592,Angus
S01000617,Angus
S01000671,Angus
S01000659,Angus
S01000594,Angus
S01000577,Angus
S01000599,Angus
S01000583,Angus
S01000605,Angus
S01000598,Angus
S01000589,Angus
S01000690,Angus
S01000569,Angus
S01000646,Angus
S01000706,Angus
S01000633,Angus
S01000705,Angus
S01000590,Angus
S01000588,Angus
S01000591,Angus
S01000595,Angus
S01000673,Angus
S01000575,Angus
S01000660,Angus
S01000578,Angus
S01000701,Angus
S01000572,Angus
S01000596,Angus
S01000604,Angus
S01000576,Angus
S01000597,Angus
S01000580,Angus
S01000675,Angus
S01000581,Angus
S01000579,Angus
S01000702,Angus
S01000573,Angus
S01000574,Angus
S01000767,Argyll & Bute
S01000749,Argyll & Bute
S01000732,Argyll & Bute
S01000748,Argyll & Bute
S01000770,Argyll & Bute
S01000717,Argyll & Bute
S01000752,Argyll & Bute
S01000815,Argyll & Bute
S01000716,Argyll & Bute
S01000731,Argyll & Bute
S01000780,Argyll & Bute
S01000733,Argyll & Bute
S01000744,Argyll & Bute
S01000812,Argyll & Bute
S01000814,Argyll & Bute
S01000769,Argyll & Bute
S01000747,Argyll & Bute
S01000746,Argyll & Bute
S01000737,Argyll & Bute
S01000759,Argyll & Bute
S01000718,Argyll & Bute
S01000715,Argyll & Bute
S01000816,Argyll & Bute
S01000794,Argyll & Bute
S01000823,Argyll & Bute
S01000768,Argyll & Bute
S01000727,Argyll & Bute
S01000729,Argyll & Bute
S01000800,Argyll & Bute
S01000721,Argyll & Bute
S01000785,Argyll & Bute
S01000730,Argyll & Bute
S01000774,Argyll & Bute
S01000797,Argyll & Bute
S01000777,Argyll & Bute
S01000798,Argyll & Bute
S01000754,Argyll & Bute
S01000826,Argyll & Bute
S01000722,Argyll & Bute
S01000745,Argyll & Bute
S01000753,Argyll & Bute
S01000742,Argyll & Bute
S01000740,Argyll & Bute
S01000736,Argyll & Bute
S01000831,Argyll & Bute
S01000757,Argyll & Bute
S01000720,Argyll & Bute
S01000804,Argyll & Bute
S01000793,Argyll & Bute
S01000741,Argyll & Bute
S01000756,Argyll & Bute
S01000714,Argyll & Bute
S01000819,Argyll & Bute
S01000791,Argyll & Bute
S01000821,Argyll & Bute
S01000787,Argyll & Bute
S01000724,Argyll & Bute
S01000755,Argyll & Bute
S01000828,Argyll & Bute
S01000726,Argyll & Bute
S01000829,Argyll & Bute
S01000750,Argyll & Bute
S01000711,Argyll & Bute
S01000713,Argyll & Bute
S01000789,Argyll & Bute
S01000735,Argyll & Bute
S01000802,Argyll & Bute
S01000725,Argyll & Bute
S01000810,Argyll & Bute
S01000820,Argyll & Bute
S01000743,Argyll & Bute
S01000808,Argyll & Bute
S01000830,Argyll & Bute
S01000728,Argyll & Bute
S01000806,Argyll & Bute
S01000796,Argyll & Bute
S01000809,Argyll & Bute
S01000817,Argyll & Bute
S01000805,Argyll & Bute
S01000779,Argyll & Bute
S01000822,Argyll & Bute
S01000786,Argyll & Bute
S01000739,Argyll & Bute
S01000766,Argyll & Bute
S01000719,Argyll & Bute
S01000783,Argyll & Bute
S01000773,Argyll & Bute
S01000807,Argyll & Bute
S01000803,Argyll & Bute
S01000761,Argyll & Bute
S01000723,Argyll & Bute
S01000827,Argyll & Bute
S01000763,Argyll & Bute
S01000712,Argyll & Bute
S01000824,Argyll & Bute
S01000801,Argyll & Bute
S01000738,Argyll & Bute
S01000818,Argyll & Bute
S01000813,Argyll & Bute
S01000832,Argyll & Bute
S01000760,Argyll & Bute
S01000792,Argyll & Bute
S01000771,Argyll & Bute
S01000734,Argyll & Bute
S01000751,Argyll & Bute
S01000788,Argyll & Bute
S01000795,Argyll & Bute
S01000758,Argyll & Bute
S01000772,Argyll & Bute
S01000825,Argyll & Bute
S01000790,Argyll & Bute
S01000765,Argyll & Bute
S01000764,Argyll & Bute
S01000784,Argyll & Bute
S01000775,Argyll & Bute
S01000811,Argyll & Bute
S01000799,Argyll & Bute
S01000762,Argyll & Bute
S01000782,Argyll & Bute
S01000778,Argyll & Bute
S01000781,Argyll & Bute
S01000776,Argyll & Bute
S01000836,Clackmannanshire
S01000841,Clackmannanshire
S01000869,Clackmannanshire
S01000837,Clackmannanshire
S01000846,Clackmannanshire
S01000840,Clackmannanshire
S01000867,Clackmannanshire
S01000868,Clackmannanshire
S01000860,Clackmannanshire
S01000874,Clackmannanshire
S01000870,Clackmannanshire
S01000850,Clackmannanshire
S01000835,Clackmannanshire
S01000866,Clackmannanshire
S01000854,Clackmannanshire
S01000852,Clackmannanshire
S01000856,Clackmannanshire
S01000877,Clackmannanshire
S01000865,Clackmannanshire
S01000881,Clackmannanshire
S01000853,Clackmannanshire
S01000834,Clackmannanshire
S01000847,Clackmannanshire
S01000890,Clackmannanshire
S01000844,Clackmannanshire
S01000863,Clackmannanshire
S01000871,Clackmannanshire
S01000888,Clackmannanshire
S01000882,Clackmannanshire
S01000857,Clackmannanshire
S01000876,Clackmannanshire
S01000886,Clackmannanshire
S01000849,Clackmannanshire
S01000833,Clackmannanshire
S01000887,Clackmannanshire
S01000855,Clackmannanshire
S01000889,Clackmannanshire
S01000872,Clackmannanshire
S01000883,Clackmannanshire
S01000838,Clackmannanshire
S01000839,Clackmannanshire
S01000843,Clackmannanshire
S01000873,Clackmannanshire
S01000884,Clackmannanshire
S01000875,Clackmannanshire
S01000848,Clackmannanshire
S01000895,Clackmannanshire
S01000845,Clackmannanshire
S01000864,Clackmannanshire
S01000859,Clackmannanshire
S01000861,Clackmannanshire
S01000842,Clackmannanshire
S01000858,Clackmannanshire
S01000879,Clackmannanshire
S01000851,Clackmannanshire
S01000862,Clackmannanshire
S01000896,Clackmannanshire
S01000891,Clackmannanshire
S01000894,Clackmannanshire
S01000893,Clackmannanshire
S01000892,Clackmannanshire
S01000880,Clackmannanshire
S01000885,Clackmannanshire
S01000878,Clackmannanshire
S01001034,Dumfries & Galloway
S01000930,Dumfries & Galloway
S01001019,Dumfries & Galloway
S01000929,Dumfries & Galloway
S01001029,Dumfries & Galloway
S01001014,Dumfries & Galloway
S01001033,Dumfries & Galloway
S01001032,Dumfries & Galloway
S01000934,Dumfries & Galloway
S01001037,Dumfries & Galloway
S01000965,Dumfries & Galloway
S01001086,Dumfries & Galloway
S01001088,Dumfries & Galloway
S01001087,Dumfries & Galloway
S01000937,Dumfries & Galloway
S01001035,Dumfries & Galloway
S01000899,Dumfries & Galloway
S01000971,Dumfries & Galloway
S01000924,Dumfries & Galloway
S01000941,Dumfries & Galloway
S01001017,Dumfries & Galloway
S01001036,Dumfries & Galloway
S01001010,Dumfries & Galloway
S01000931,Dumfries & Galloway
S01000967,Dumfries & Galloway
S01001028,Dumfries & Galloway
S01000963,Dumfries & Galloway
S01001007,Dumfries & Galloway
S01000958,Dumfries & Galloway
S01000956,Dumfries & Galloway
S01001051,Dumfries & Galloway
S01001022,Dumfries & Galloway
S01001052,Dumfries & Galloway
S01000927,Dumfries & Galloway
S01000998,Dumfries & Galloway
S01000985,Dumfries & Galloway
S01001031,Dumfries & Galloway
S01001020,Dumfries & Galloway
S01001015,Dumfries & Galloway
S01000969,Dumfries & Galloway
